,Category,ID,Name,PValue,QValueFDRBH,QValueFDRBY,QValueBonferroni,TotalGenes,GenesInTerm,GenesInQuery,GenesInTermInQuery,Source,URL,Genes
0,Pubmed,16810681,Developmental regulation of biglycan expression in muscle and tendon.,1.339865365827313e-12,3.5140648949552935e-08,3.7782450627148096e-07,3.5140648949552935e-08,44761,6,26,4,Pubmed,http://pubmed.org/16810681,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}, {'Entrez': 633, 'Symbol': 'BGN'}]"
1,Pubmed,12011280,"Collagen VI involvement in Ullrich syndrome: a clinical, genetic, and immunohistochemical study.",1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/12011280,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
2,Pubmed,8782832,"Type VI collagen mutations in Bethlem myopathy, an autosomal dominant myopathy with contractures.",1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/8782832,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
3,Pubmed,24801232,Novel collagen VI mutations identified in Chinese patients with Ullrich congenital muscular dystrophy.,1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/24801232,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
4,Pubmed,3665927,Characterization of three constituent chains of collagen type VI by peptide sequences and cDNA clones.,1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/3665927,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
5,Pubmed,25204870,Mosaicism for dominant collagen 6 mutations as a cause for intrafamilial phenotypic variability.,1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/25204870,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
6,Pubmed,7780011,"Expression of collagen alpha 1(VI), alpha 2(VI), and alpha 3(VI) chains in the pregnant mouse uterus.",1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/7780011,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
7,Pubmed,21459131,Collagen VI protects against neuronal apoptosis elicited by ultraviolet irradiation via an Akt/phosphatidylinositol 3-kinase signaling pathway.,1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/21459131,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
8,Pubmed,15563506,Dominant collagen VI mutations are a common cause of Ullrich congenital muscular dystrophy.,1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/15563506,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
9,Pubmed,9520112,Expression of type VI collagen in the developing mouse heart.,1.740514717571004e-10,2.685204676337336e-07,2.8870728380000002e-06,4.564847949e-06,44761,3,26,3,Pubmed,http://pubmed.org/9520112,"[{'Entrez': 1291, 'Symbol': 'COL6A1'}, {'Entrez': 1292, 'Symbol': 'COL6A2'}, {'Entrez': 1293, 'Symbol': 'COL6A3'}]"
